fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
12.3;0.27;0.49;3.1;0.079;28.0;46.0;0.9993;3.2;0.8;10.2
7.6;0.665;0.1;1.5;0.066;27.0;55.0;0.99655;3.39;0.51;9.3
8.2;0.6;0.17;2.3;0.07200000000000001;11.0;73.0;0.9963;3.2;0.45;9.3
7.4;0.635;0.1;2.4;0.08;16.0;33.0;0.99736;3.58;0.69;10.8
8.8;0.64;0.17;2.9;0.084;25.0;130.0;0.99818;3.23;0.54;9.6
5.0;1.02;0.04;1.4;0.045;41.0;85.0;0.9938;3.75;0.48;10.5
9.1;0.66;0.15;3.2;0.097;9.0;59.0;0.99976;3.28;0.54;9.6
5.1;0.51;0.18;2.1;0.042;16.0;101.0;0.9924;3.46;0.87;12.9
6.4;0.64;0.21;1.8;0.081;14.0;31.0;0.99689;3.59;0.66;9.8
9.0;0.38;0.41;2.4;0.103;6.0;10.0;0.99604;3.13;0.58;11.9
12.6;0.31;0.72;2.2;0.07200000000000001;6.0;29.0;0.9987;2.88;0.82;9.8
7.5;0.52;0.11;1.5;0.079;11.0;39.0;0.9968;3.42;0.58;9.6
8.1;0.78;0.23;2.6;0.059;5.0;15.0;0.997;3.37;0.56;11.3
7.1;0.34;0.28;2.0;0.08199999999999999;31.0;68.0;0.99694;3.45;0.48;9.4
7.2;0.49;0.18;2.7;0.069;13.0;34.0;0.9967;3.29;0.48;9.2
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2
11.4;0.6;0.49;2.7;0.085;10.0;41.0;0.9994;3.15;0.63;10.5
6.6;0.8;0.03;7.8;0.079;6.0;12.0;0.9963;3.52;0.5;12.2
